Vak,Omschrijving,Onderwijsniveau,Onderwijsgraad,Thema
Nederlands voor nieuwkomers (vak voorbehouden aan OKAN),"Woordenschat, grammatica, Nederlandse cultuur, vaardigheden voor beginners",Secundair onderwijs,"Lager 1ste graad,Lager 2de graad,Lager 3de graad,Secundair 1ste graad","Nederlandse taal,Literatuur"
niet-confessionele zedenleer ,"Vrijzinnig humanisme, identiteit, samenleven, democratie, diversiteit, andere levensbeschouwingen","Secundair onderwijs,Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad,Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Religie en geloof,Filosofie,Identiteit,Normen en waarden"
Oud-Hebreeuws,"Woordenschat, grammatica, cultuur, literatuur",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Klassieke talen,Oudheid,Literatuur,Toerisme"
pedagogiek,"Ontwikkeling van baby tot volwassene, opvoeding, relatie ouder - kind, leren, onderwijs",Secundair onderwijs,Secundair 3de graad,Opvoeding en ontwikkeling
plastische opvoeding,"Waarnemen, vormgeven, stijlen, materialen, tekenen, schilderen, beeldhouwen, collages, foto ...",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad","Beeldende kunsten,Toegepaste kunsten"
project algemene vakken,"Nederlands, wiskunde, geschiedenis, biologie, aardrijkskunde. Uitdovend vak.",Secundair onderwijs,,
project STEM,"Idee onderzoeken, innoveren, technisch tekenen, constructies, programmeren, mechanieken",Secundair onderwijs,Secundair 1ste graad,"Wiskunde,Fysica,Chemie,Biologie,Constructie en productie"
psychologie,"Menselijk gedrag, emoties, mentaal welzijn, fasen levensloop, identiteitsontwikkeling, diversiteit, gender, interactie, bekende theorieën",Secundair onderwijs,Secundair 3de graad,"Gezondheid en gezondheidszorg,Psychologie,Opvoeding en ontwikkeling"
Russisch,"Woordenschat, grammatica, Russische cultuur, vaardigheden, literatuur",Secundair onderwijs,Secundair 3de graad,"Moderne talen,Literatuur,Toerisme"
sociale activiteit,"Gedrag, hoe samenwerken, dialoog, communicatie, interactie, respect",Secundair onderwijs,,
sociologie,"Subculturen, sociale rollen, stereotiepen, diversiteit, integratie, rol overheid, ",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Identiteit,Relaties en seksualiteit,Recht,Rolpatronen en stereotypen,Mediawijsheid,Normen en waarden"
Spaans,"Woordenschat, grammatica, Spaanse cultuur, vaardigheden, literatuur",Secundair onderwijs,Secundair 3de graad,"Moderne talen,Literatuur,Toerisme"
sport,"Beweging, atletiek, gymnastiek, balsporten, motoriek, veiligheid, teamspirit, identiteit",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Sport en spel
topsport,"Beweging, atletiek, gymnastiek, balsporten, motoriek, veiligheid, teamspirit, identiteit",Secundair onderwijs,Secundair 1ste graad,Sport en spel
wiskunde,"Getallenleer, meetkunde, algebra, analyse, kansrekenen, modelleren","Secundair onderwijs,Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad,Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad",Wiskunde
algemene muziekleer,"Muzikale basiskennis, vaardigheden en attitudes, muziektheorie en praktische aspecten van muziek",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
algemene verbale vorming,Uitspraak en ademhalingstechnieken,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Podiumkunsten,Literatuur"
architecturale vorming,"Methodes om architectuur te ontwerpen, voor te stellen en te onderbouwen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
architectuurtekenen,Tekenen van ontwerpen,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
artistieke creatie,"Zelf creëren van beeldende kunst, toegepaste kunsten en theater",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Beeldende kunsten,Toegepaste kunsten,Podiumkunsten"
atelier drama,Praktische vorming podiumkunsten,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
atelier woord,Praktische vorming rond uitspraak en ademhaling,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
audiovisuele vorming,"Hedendaagse audiovisuele cultuur, kritisch kijken naar beelden uit verschillende media",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Beeldende kunsten,Digitale vaardigheden en informatica"
beeld- en mediacultuur,"Hedendaagse audiovisuele cultuur, kritisch kijken naar beelden uit verschillende media",Secundair onderwijs,Secundair 3de graad,"Media en communicatie,Mediawijsheid,Digitale vaardigheden en informatica,Beeldende kunsten"
beeldende kunsten,"Schilderkunst, beeldhouwkunst",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Beeldende kunsten
beeldende vorming,"Waarnemingstekenen, schilderen, beeldhouwen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Beeldende kunsten
binnenhuiskunst,"Decoratie, interieur, binnenhuisarchitectuur",Secundair onderwijs,Secundair 3de graad,Toegepaste kunsten
bouwkunst,Architectuur en bouwkunst,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
creatief musiceren,Creatief musiceren,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
fotografie,"Digitale en analoge fotografie, portretfotografie, landschapfotografie, fototoestellen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Beeldende kunsten
groepsmusiceren: folk- en wereldmuziek,Groepsmusiceren binnen folk- en wereldmuziek,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
groepsmusiceren: jazz-pop-rock,Groepsmusiceren binnen jazz-pop-rock,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
groepsmusiceren: klassiek,Groepsmusiceren binnen klassieke muziek,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
groepsmusiceren: musical,Groepsmusiceren binnen musicals,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
groepsmusiceren: opera/muziektheater,Groepsmusiceren binnen opera/muziektheater,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
hedendaagse dans,"Artistieke en fysieke vaardigheden, oefeningen en choreografieën",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
"instrument: folk- en wereldmuziek (accordeon, contrabas, doedelzak, folkgitaar, folkviool, Keltische harp, mandoline, slagwerk)","Accordeon, contrabas, doedelzak, folkgitaar, folkviool, Keltische harp, mandoline, slagwerk",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
"instrument: jazz-pop-rock (accordeon, bugel, contrabas, cornet, dwarsfluit, gitaar, hoorn, keyboard, klarinet, piano, saxofoon, slagwerk, trombone, trompet, tuba, viool)","Accordeon, bugel, contrabas, cornet, dwarsfluit, gitaar, hoorn, keyboard, klarinet, piano, saxofoon, slagwerk, trombone, trompet, tuba, viool",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
"instrument: klassiek (althoorn, altviool, bariton, blokfluit, bugel, cello, contrabas, dwarsfluit, Engelse hoorn, fagot, gamba, gitaar, harp, hobo, hoorn, klarinet, klavecimbel, kornet, luit, orgel, piano, saxofoon, slagwerk, traverso, trombone, trompet, viool)","Althoorn, altviool, bariton, blokfluit, bugel, cello, contrabas, dwarsfluit, Engelse hoorn, fagot, gamba, gitaar, harp, hobo, hoorn, klarinet, klavecimbel, kornet, luit, orgel, piano, saxofoon, slagwerk, traverso, trombone, trompet, viool",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
klassieke dans,"Artistieke en fysieke vaardigheden, oefeningen aan de barre, omgezet tot choreografieën",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
kunstbeschouwing,"Kunstwerken beschrijven, analyseren en waarderen",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Beeldende kunsten,Podiumkunsten,Toegepaste kunsten"
muziektheorie: folk-en wereldmuziek,"Harmonie, vormleer en orkestratie in folk- en wereldmuziek",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
muziektheorie: jazz-pop-rock,"Harmonie, vormleer en orkestratie in jazz, pop, rock",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
muziektheorie: klassiek,"Harmonie, vormleer en orkestratie in klassieke muziek",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
praktische harmonie: folk-en wereldmuziek,Samenspel folk-en wereldmuziek,Secundair onderwijs,Secundair 3de graad,Podiumkunsten
praktische harmonie: jazz-pop-rock,"Samenspel jazz, pop, rock",Secundair onderwijs,Secundair 3de graad,Podiumkunsten
praktische harmonie: klassiek,Samenspel klassieke muziek,Secundair onderwijs,Secundair 3de graad,Podiumkunsten
toegepaste beeldende vorming,"Waarnemingstekenen, schilderen, beeldhouwen",Secundair onderwijs,Secundair 3de graad,Beeldende kunsten
vrije beeldende vorming," Beeldende kunst - kunstbeschouwing, beeldtaal",Secundair onderwijs,Secundair 3de graad,Beeldende kunsten
waarnemingstekenen,"Tekenen, modeltekenen, stillevens",Secundair onderwijs,Secundair 3de graad,Beeldende kunsten
zang: folk- en wereldmuziek,"Zangtraining binnen de genres folk-en wereldmuziek, muziekgeschiedenis",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
zang: jazz-pop-rock,"Zangtraining binnen de genres jazz, pop en rock, muziekgeschiedenis",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
zang: klassiek,"Zangtraining binnen klassieke muziek, muziekgeschiedenis",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
zang: musical,"Zangtraining binnen het musical genre, muziekgeschiedenis",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
zang: opera/muziektheater,Zangtraining binnen het genre opera,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Podiumkunsten
administratie,"Administratie, documenten, informatica",Secundair onderwijs,Secundair 3de graad,Bedrijfsbeheer
afwerking bouw,"Bouw, vloeren, bepleisteren, muren, trappen, tegels
",Secundair onderwijs,Secundair 3de graad,Constructie en productie
agrarische technieken,"Agrarische technieken, milieu, plant, dier, landbouw, natuur
",Secundair onderwijs,Secundair 1ste graad,Land- en tuinbouw
apotheek,"Apotheek, medicijnen, geneesmiddelen, cosmetische producten",Secundair onderwijs,Secundair 3de graad,Chemie
autorijtechnieken,"Auto, rijden, transport, vrachtwagen, chauffeur",Secundair onderwijs,Secundair 3de graad,Constructie en productie
autotechnieken,"Werking en onderhoud auto's, elektronica, elektriciteit",Secundair onderwijs,Secundair 3de graad,Constructie en productie
bakkerij,"Bakker, brood, patisserie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Voeding en horeca,Constructie en productie"
besturing bouwmachines,"Bouw, chauffeur, kraan, vorkheftruck, graafmachines, rupsvoertuig
",Secundair onderwijs,Secundair 3de graad,Constructie en productie
boekhouding,"Boekhouding, financiën, bedrijfsadministratie
",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Bedrijfsbeheer,Omgaan met geld"
bosbouw,"Bos, aanplanten, waters onderhouden, boskap",Secundair onderwijs,Secundair 3de graad,Land- en tuinbouw
bouw,"Metsen, bekisten, ijzervlechten, muren zetten, bouwplannen lezen, voegen
",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
centrale verwarming,"Je leert leidingen van water, gas en stookolie (de)monteren rekening houdend met het soort installatie voor de centrale verwarming (CV)",Secundair onderwijs,Secundair 3de graad,Constructie en productie
commerciële technieken,"Verkoopstechnieken, verkoop, boekhouden, winkel houden",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad",Bedrijfsbeheer
dakwerken,"Dak plaatsen, isoleren",Secundair onderwijs,Secundair 3de graad,Constructie en productie
decoratieve technieken,"In feite een studierichting beeldende kunsten met o.a. schilderen, goud en juwelen, diamant bewerken, publiciteit en etalage, decoratie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Constructie en productie,Toegepaste kunsten"
diamant,"Diamant bewerken
",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Constructie en productie,Toegepaste kunsten"
dierenzorg,"Verzorgen van dieren, softwarepakketten gebruiken",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Biologie,Gezondheid en gezondheidszorg"
elektriciteit,"Alles rond elektriciteit: basis, kenmerken, leggen, netwerk monteren,..",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Constructie en productie,Fysica"
elektromechanica,"Mechanica, elektronica, elektriciteit, automatisering en installatietechnologie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Constructie en productie,Digitale vaardigheden en informatica,Fysica"
elektronica,"Besturingssystemen, databases en datacommunicatie, multimedia, netwerkbeheer, webtechnologie en -design",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Constructie en productie,Digitale vaardigheden en informatica"
glastechnieken,Glas,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Constructie en productie,Toegepaste kunsten"
goud en juwelen,Goud en juwelen bewerken en maken,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Constructie en productie,Toegepaste kunsten"
grafische technieken,"Druk, print, grafische publicatietechnieken",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
grime,Grime,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Lichamelijke verzorging
groendecoratie,Groendecoratie,Secundair onderwijs,Secundair 3de graad,Land- en tuinbouw
haarverzorging,Haarverzorging,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Lichamelijke verzorging
hoefverzorging,Hoefverzorging bij hoefdieren,Secundair onderwijs,Secundair 2de graad,"Biologie,Land- en tuinbouw"
hotel,"Keuken, zaal, receptie, hotel, koken, serveertechnieken, beheer en administratieve organisatie",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Voeding en horeca
hout,"Houtbewerking, meubels",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
human resources,"Personeelsbeleid, administratie",Secundair onderwijs,Secundair 3de graad,Bedrijfsbeheer
indirecte zorg,"Zorgkundige, opvoeder, begeleider
",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Gezondheid en gezondheidszorg
instrumentenbouw,Bouw van muziekinstrumenten,Secundair onderwijs,Secundair 3de graad,Constructie en productie
keukentechnieken,Keukentechnieken,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Voeding en horeca
koeltechnieken,"Opbouw en werking van industriële koelinstallaties, elektriciteit, fysische kenmerken van het koelproces
",Secundair onderwijs,Secundair 3de graad,"Constructie en productie,Fysica"
koetswerk,"Demontage, montage, plaatwerk, richten, voorbereiden, spuiten en afwerken auto's",Secundair onderwijs,Secundair 3de graad,Constructie en productie
kunststoffen,Alles rond kunststofverwerking,Secundair onderwijs,Secundair 3de graad,Constructie en productie
landbouw,Landbouwtechnieken,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Land- en tuinbouw
lassen-constructie,Lassen,Secundair onderwijs,Secundair 3de graad,Constructie en productie
logistiek,"Ontvangen, sorteren, opslaan, verpakken en verzenden van verschillende soorten goederen, magazijntechnieken",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Economie,Bedrijfsbeheer"
mechanica,"Metaal, metaalbewerkingsmachines, boren, schaven, frezen, draaien en slijpen, programmeren",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
mechanische vormgeving,Vorm geven aan een metalen werkstuk,Secundair onderwijs,Secundair 3de graad,Constructie en productie
meubelmakerij,Meubels maken,Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Constructie en productie
militaire vorming,"Opleiding tot militair
",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Beroepen
mode,"Ontwerpen van modellen en patronen, CAD, textiel bewerken",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad",Toegepaste kunsten
natuurbeheer,"Maaien, beplanten, snoeien, kappen, waterpartijen beheren,
natuurlijke omgevingen en landschappen in stand houden of laten ontwikkelen",Secundair onderwijs,Secundair 3de graad,Land- en tuinbouw
nautische technieken,"Maritieme techniek, scheepwerktuigkunde, binnenscheepvaart, vaartechnieken",Secundair onderwijs,Secundair 3de graad,Verkeer en mobiliteit
onthaal,"Communicatie, adminstratie",Secundair onderwijs,Secundair 3de graad,"Bedrijfsbeheer,Media en communicatie"
optiek,Optische technieken,Secundair onderwijs,Secundair 3de graad,"Gezondheid en gezondheidszorg,Biologie"
opvoedkunde,"Opvoeder, begeleider, pedagogische technieken",Secundair onderwijs,Secundair 3de graad,Opvoeding en ontwikkeling
orthopedie,"Orthopedische technieken, schoentechnoloog",Secundair onderwijs,Secundair 3de graad,Constructie en productie
podiumtechnieken,"Technische creatie en realisatie van theater, schouwburg, festival",Secundair onderwijs,Secundair 3de graad,"Podiumkunsten,Constructie en productie"
printmedia,"Ontwerp van drukwerken, de uitvoering ervan (drukken) als de afwerking (plooien, snijden, nieten, inbinden)",Secundair onderwijs,"Secundair 3de graad,Secundair 2de graad","Media en communicatie,Digitale vaardigheden en informatica,Constructie en productie"
productie-industrie,"Productiegegevens opvolgen
de productie aan de machine instellen, omstellen, bedienen en opvolgen
kwaliteitscontroles uitvoeren, het basisonderhoud uitvoeren, gepaste maatregelen nemen bij storingen en afwijkingen
kwaliteitsprocedures, hygiëne-, milieu-, veiligheids- en productievoorschriften naleven
",Secundair onderwijs,Secundair 3de graad,Constructie en productie
